epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
80,25.2958,0.04133,1,1,0.02772,0.000363239,0.000363239,0.000363239
81,25.5851,0.04559,1,1,0.03797,0.000346736,0.000346736,0.000346736
82,25.8887,0.01641,1,1,0.03456,0.000330233,0.000330233,0.000330233
83,26.1701,0.01911,1,1,0.03344,0.000313729,0.000313729,0.000313729
84,26.4218,0.00879,1,1,0.02423,0.000297226,0.000297226,0.000297226
85,26.6665,0.04343,1,1,0.03282,0.000280723,0.000280723,0.000280723
86,26.9166,0.17302,1,1,0.03312,0.00026422,0.00026422,0.00026422
87,27.1766,0.06961,1,1,0.04956,0.000247716,0.000247716,0.000247716
88,27.4352,0.04466,1,1,0.04646,0.000231213,0.000231213,0.000231213
89,27.689,0.06092,1,1,0.04385,0.00021471,0.00021471,0.00021471
90,27.9425,0.03184,1,1,0.04628,0.000198206,0.000198206,0.000198206
91,48.7395,0.04759,1,1,0.0354,0.000181703,0.000181703,0.000181703
92,49.0246,0.01408,1,1,0.05291,0.0001652,0.0001652,0.0001652
93,49.2752,0.02133,1,1,0.04108,0.000148696,0.000148696,0.000148696
94,49.5229,0.00567,1,1,0.03615,0.000132193,0.000132193,0.000132193
95,49.7774,0.02875,1,1,0.03477,0.00011569,0.00011569,0.00011569
96,50.0154,0.00768,1,1,0.04373,9.91865e-05,9.91865e-05,9.91865e-05
97,50.267,0.02961,1,1,0.04018,8.26832e-05,8.26832e-05,8.26832e-05
98,50.519,0.05696,1,1,0.04403,6.61799e-05,6.61799e-05,6.61799e-05
99,50.7724,0.06828,1,1,0.05798,4.96766e-05,4.96766e-05,4.96766e-05
100,51.0243,0.0066,1,1,0.06015,3.31733e-05,3.31733e-05,3.31733e-05
