epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,51.227,1.18503,1.60489,1.51206,0.65955,0.49035,0.53677,0.2116,1.9971,3.55696,2.88257,0.000822003,0.000822003,0.000822003
43,52.3591,1.18815,1.60027,1.45386,0.82413,0.70712,0.73034,0.32444,1.76667,3.14556,2.61937,0.000827782,0.000827782,0.000827782
44,53.5485,1.07104,1.90272,1.44633,0.92914,0.65445,0.84584,0.41954,1.70929,2.65187,2.58107,0.000832902,0.000832902,0.000832902
45,54.6924,1.1973,1.58491,1.44801,0.89035,0.67678,0.89976,0.50123,1.4754,2.46475,2.26083,0.000837361,0.000837361,0.000837361
46,55.8294,1.04923,1.53769,1.27343,0.81423,0.71027,0.85661,0.49862,1.44341,2.38647,2.19075,0.00084116,0.00084116,0.00084116
47,56.9609,0.99856,1.45333,1.27263,0.94816,0.45214,0.70846,0.43496,1.35336,2.35048,2.17788,0.000844299,0.000844299,0.000844299
48,58.0933,0.98994,1.35778,1.22913,0.9581,0.37353,0.59652,0.40344,1.29985,2.4341,2.10652,0.000846778,0.000846778,0.000846778
49,59.2227,1.05584,1.31067,1.29724,0.94109,0.5,0.75474,0.4145,1.3896,2.44348,2.19878,0.000848596,0.000848596,0.000848596
50,60.3594,1.19829,1.59284,1.46504,0.87988,0.5,0.74045,0.36491,1.5309,2.52998,2.3883,0.000849755,0.000849755,0.000849755
51,61.5565,0.95269,1.38327,1.2588,0.55838,0.875,0.78369,0.40942,1.57099,2.38394,2.62324,0.000841835,0.000841835,0.000841835
52,62.752,0.92732,1.28176,1.30521,0.93169,0.625,0.78691,0.48248,1.42072,2.08212,2.19482,0.000825332,0.000825332,0.000825332
53,63.9225,1.05217,1.37381,1.40109,0.9604,0.625,0.82538,0.51734,1.34532,2.07106,2.09387,0.000808828,0.000808828,0.000808828
54,65.0838,1.01126,1.34049,1.31062,0.99111,0.61008,0.78817,0.50651,1.44966,2.0031,2.30963,0.000792325,0.000792325,0.000792325
55,66.2131,0.97287,1.3615,1.31023,0.9175,0.625,0.77673,0.49241,1.54218,2.08645,2.41477,0.000775822,0.000775822,0.000775822
56,67.3662,1.11378,1.63659,1.39572,0.92657,0.73896,0.91167,0.52533,1.61508,2.04722,2.63386,0.000759318,0.000759318,0.000759318
57,68.5063,0.96165,1.29116,1.28523,0.79072,0.74783,0.88518,0.50529,1.54881,1.93641,2.54734,0.000742815,0.000742815,0.000742815
58,69.627,1.03431,1.31758,1.32093,0.97494,0.62263,0.82096,0.51224,1.44465,1.94198,2.37436,0.000726312,0.000726312,0.000726312
59,70.7764,0.93657,1.19385,1.24996,0.69042,0.72501,0.73039,0.43811,1.61109,2.12769,2.49534,0.000709809,0.000709809,0.000709809
60,71.9063,1.01778,1.31291,1.32736,0.66749,0.77349,0.69595,0.39647,1.61624,2.11972,2.60956,0.000693305,0.000693305,0.000693305
61,73.0553,0.97131,1.32382,1.27284,0.84091,0.56792,0.70462,0.39418,1.56961,2.1471,2.53445,0.000676802,0.000676802,0.000676802
62,74.1839,1.0231,1.22861,1.2374,0.89547,0.5,0.6454,0.40065,1.53517,2.01902,2.52547,0.000660299,0.000660299,0.000660299
63,75.3475,0.90277,1.1454,1.19454,0.80998,0.5,0.57937,0.36236,1.65209,2.07736,2.50645,0.000643795,0.000643795,0.000643795
64,76.5046,0.98584,1.18382,1.29806,0.62397,0.49852,0.55927,0.36611,1.61088,2.22119,2.41032,0.000627292,0.000627292,0.000627292
65,77.6513,0.92494,1.01233,1.22611,0.60054,0.48925,0.54568,0.33154,1.6573,2.5206,2.43415,0.000610789,0.000610789,0.000610789
66,78.8018,0.7804,0.95857,1.12315,0.6258,0.375,0.45548,0.29145,1.75598,2.78279,2.57348,0.000594286,0.000594286,0.000594286
67,79.9759,0.9429,1.22363,1.29059,0.60952,0.37242,0.45788,0.27399,1.6908,2.83154,2.58154,0.000577782,0.000577782,0.000577782
68,81.1182,0.88368,1.12999,1.16642,0.64485,0.375,0.45397,0.24653,1.73122,2.80689,2.71807,0.000561279,0.000561279,0.000561279
